	ip
0	190.206.118.235:8080
1	177.11.50.96:8080
2	103.251.167.7:1080
3	119.42.93.216:5231
4	185.144.67.10:8080
5	107.80.121.221:9999
6	217.219.153.242:8080
7	177.86.156.2:8080
8	201.242.184.13:8080
9	185.91.171.145:8080
10	219.139.130.49:80
11	186.101.125.154:8080
12	45.248.147.85:8080
13	89.135.121.1:3128
14	217.182.92.162:3128
15	190.201.177.134:8080
16	94.177.217.137:80
17	118.91.163.142:8080
18	124.248.190.215:8080
19	190.202.160.7:8080
20	178.140.102.33:8081
21	200.202.229.218:8080
22	165.227.188.89:80
23	119.57.108.57:5328
24	200.5.83.150:3128
25	36.76.105.13:8080
26	93.171.30.146:5328
27	124.232.163.49:3128
28	202.166.165.58:80
29	58.87.87.142:80
30	36.250.5.83:9000
31	221.233.86.115:3128
32	134.35.185.205:8080
33	168.195.231.1:8080
34	149.154.137.205:8080
35	62.122.195.50:8080
36	97.72.129.37:87
37	5.2.69.146:1080
38	77.95.92.138:8080
39	190.79.50.124:3128
40	191.102.125.75:8080
41	221.233.86.83:3128
42	149.5.41.221:8080
43	187.76.62.90:8080
44	5.160.79.18:8080
45	182.253.62.172:3129
46	5.202.191.130:8080
47	45.124.144.145:8080
48	120.72.18.44:8080
49	103.247.121.115:8080
50	189.112.11.40:8082
51	23.249.163.13:3128
52	180.250.5.37:8080
53	37.110.74.229:8181
54	91.207.185.40:5328
55	178.49.140.253:8080
56	110.77.183.102:5155
57	200.84.222.238:8080
58	221.204.117.218:9797
59	114.7.20.154:80
60	200.149.84.90:8080
61	27.130.166.71:8080
62	205.158.57.2:5328
63	103.205.134.246:8080
64	46.101.92.212:80
65	223.19.51.247:80
66	109.74.32.6:8080
67	212.200.126.13:8080
68	176.237.39.222:8080
69	159.203.155.37:3128
70	188.56.30.138:8080
71	61.5.61.58:8080
72	36.78.209.3:8080
73	178.187.200.149:8080
74	103.60.137.2:5120
75	141.196.146.75:8080
76	210.186.25.36:8080
77	14.207.72.21:8080
78	36.84.58.118:3128
79	49.49.57.147:8080
80	112.25.35.226:80
81	41.77.128.18:5300
82	113.15.75.89:9000
83	110.44.113.105:8080
84	37.187.121.205:3128
85	221.217.53.121:9000
86	187.7.128.218:8080
87	190.122.184.97:8080
88	89.133.177.7:8080
89	182.23.107.211:80
90	212.126.97.83:6390
91	39.155.169.70:80
92	110.77.172.179:5155
93	110.55.117.248:5328
94	95.135.94.97:80
95	5.2.69.153:1080
96	154.73.159.253:8585
97	125.25.54.80:8080
98	177.24.57.72:8080
99	187.60.161.68:8080
100	94.177.217.137:3128
101	36.80.222.137:8080
102	190.201.29.95:8080
103	134.35.214.231:8080
104	183.88.217.201:8080
105	185.34.20.82:8080
106	122.228.179.178:80
107	103.239.252.29:8080
108	36.67.108.53:6222
109	178.49.140.250:8080
110	210.186.121.103:8080
111	188.255.187.176:5328
112	36.75.102.207:8080
113	103.239.252.202:8080
114	177.234.178.120:3128
115	175.139.218.9:8080
116	103.77.60.22:8080
117	97.72.128.58:87
118	118.137.26.81:8080
119	209.126.106.225:8739
120	103.88.169.122:8080
121	46.219.14.43:8080
122	182.253.26.246:8080
123	124.207.82.166:8008
124	190.75.212.22:8080
125	139.59.125.12:8080
126	93.190.142.240:80
127	178.62.112.15:80
128	112.74.32.237:6666
129	197.155.158.22:80
130	91.235.51.238:5328
131	177.92.36.34:8080
132	179.182.101.30:8080
133	218.239.138.16:80
134	190.186.144.69:5328
135	122.154.123.2:8080
136	37.57.241.120:8888
137	186.137.103.221:8080
138	64.185.120.62:5328
139	115.249.245.30:8080
140	47.93.3.242:80
141	58.251.250.6:8118
142	108.208.26.71:3128
143	62.15.205.71:5328
144	176.237.139.7:8080
145	185.144.67.19:8080
146	213.192.31.173:80
147	110.77.206.163:5231
148	183.88.157.107:8080
149	39.42.2.12:8080
150	124.232.163.37:3128
151	195.218.144.150:8080
152	122.228.25.97:8101
153	209.150.253.84:80
